"Fecha_reporte","Estado","Casos","Tasa de incidencia","Ambulatorios","Hospitalizados","Altas","Incidencia"
"2022-10-04","Baja California",14,0.37,NA,NA,NA,1
"2022-10-04","Baja California Sur",1,0.12,NA,NA,NA,0
"2022-10-04","Campeche",5,0.48,NA,NA,NA,2
"2022-10-04","Chiapas",25,0.42,NA,NA,NA,5
"2022-10-04","Chihuahua",11,0.28,NA,NA,NA,3
"2022-10-04","Ciudad de México",1184,13.17,NA,NA,NA,217
"2022-10-04","Coahuila",10,0.3,NA,NA,NA,4
"2022-10-04","Colima",4,0.49,NA,NA,NA,1
"2022-10-04","Durango",0,NA,NA,NA,NA,0
"2022-10-04","Estado de México",189,1.06,NA,NA,NA,48
"2022-10-04","Guanajuato",10,0.16,NA,NA,NA,1
"2022-10-04","Guerrero",2,0.05,NA,NA,NA,1
"2022-10-04","Hidalgo",8,0.25,NA,NA,NA,2
"2022-10-04","Jalisco",240,2.8,NA,NA,NA,25
"2022-10-04","Michoacán",4,0.08,NA,NA,NA,0
"2022-10-04","Morelos",13,0.62,NA,NA,NA,1
"2022-10-04","Nayarit",9,0.68,NA,NA,NA,0
"2022-10-04","Nuevo León",21,0.36,NA,NA,NA,2
"2022-10-04","Oaxaca",7,0.17,NA,NA,NA,1
"2022-10-04","Puebla",12,0.18,NA,NA,NA,2
"2022-10-04","Querétaro",8,0.34,NA,NA,NA,3
"2022-10-04","Quintana Roo",46,2.56,NA,NA,NA,7
"2022-10-04","San Luis Potosí",1,0.03,NA,NA,NA,0
"2022-10-04","Sinaloa",8,0.25,NA,NA,NA,0
"2022-10-04","Sonora",3,0.1,NA,NA,NA,0
"2022-10-04","Tabasco",27,1.03,NA,NA,NA,3
"2022-10-04","Tamaulipas",3,0.08,NA,NA,NA,0
"2022-10-04","Tlaxcala",2,0.14,NA,NA,NA,2
"2022-10-04","Veracruz",14,0.16,NA,NA,NA,4
"2022-10-04","Yucatán",77,3.34,NA,NA,NA,5
"2022-10-04","Zacatecas",3,0.18,NA,NA,NA,0
"2022-10-11","Aguascalientes",7,0.48,NA,NA,NA,0
"2022-10-11","Baja California",13,0.35,NA,NA,NA,-1
"2022-10-11","Baja California Sur",1,0.12,NA,NA,NA,0
"2022-10-11","Campeche",6,0.58,NA,NA,NA,1
"2022-10-11","Chiapas",25,0.42,NA,NA,NA,0
"2022-10-11","Chihuahua",11,0.28,NA,NA,NA,0
"2022-10-11","Ciudad de México",1303,14.5,NA,NA,NA,119
"2022-10-11","Coahuila",11,0.33,NA,NA,NA,1
"2022-10-11","Colima",4,0.49,NA,NA,NA,0
"2022-10-11","Durango",0,NA,NA,NA,NA,0
"2022-10-11","Estado de México",208,1.17,NA,NA,NA,19
"2022-10-11","Guanajuato",12,0.19,NA,NA,NA,2
"2022-10-11","Guerrero",2,0.05,NA,NA,NA,0
"2022-10-11","Hidalgo",8,0.25,NA,NA,NA,0
"2022-10-11","Jalisco",252,2.94,NA,NA,NA,12
"2022-10-11","Michoacán",4,0.08,NA,NA,NA,0
"2022-10-11","Morelos",16,0.77,NA,NA,NA,3
"2022-10-11","Nayarit",9,0.68,NA,NA,NA,0
"2022-10-11","Nuevo León",22,0.38,NA,NA,NA,1
"2022-10-11","Oaxaca",8,0.19,NA,NA,NA,1
"2022-10-11","Puebla",19,0.28,NA,NA,NA,7
"2022-10-11","Querétaro",8,0.34,NA,NA,NA,0
"2022-10-11","Quintana Roo",51,2.84,NA,NA,NA,5
"2022-10-11","San Luis Potosí",1,0.03,NA,NA,NA,0
